phase,strategy,seed,epoch,train_loss,train_accuracy,train_samples,validation_loss,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,validation_weighted_f1
screening,unweighted_ce,86,1,0.3314795602528208,0.9155894038641038,121063,0.22035595855206705,0.9465178803735076,0.6019189300173458,0.6238352107263526,0.9404025343073281
screening,unweighted_ce,86,2,0.16993083658564245,0.9522149624575634,121063,0.15074082187138022,0.9579659448989621,0.6820904855945025,0.7068473540554404,0.9523814501731452
screening,unweighted_ce,86,3,0.14069721830952894,0.9598803928533077,121063,0.14234518568957105,0.9594114075915701,0.7400490384031844,0.7445112958396555,0.9565111737401584
screening,unweighted_ce,86,4,0.12606562862016357,0.9631761975169952,121063,0.1442309673635948,0.9604810499840999,0.6975441920225189,0.7327287720871537,0.9536305278438211
screening,inverse_sqrt_ce,86,1,0.7054811112182838,0.9263028340616043,121063,0.2953289762780754,0.9461131508195774,0.7533156774756886,0.695000626942682,0.9447263319028545
screening,inverse_sqrt_ce,86,2,0.41589322782670185,0.9459868002610211,121063,0.28123767580963555,0.9392038391489116,0.7706559274559583,0.7264586213546905,0.9429638264086296
screening,inverse_sqrt_ce,86,3,0.3523092048894075,0.951355905602868,121063,0.3272177317757229,0.9181000838368362,0.8109275903420179,0.7316023597029375,0.9287805212502346
screening,inverse_sqrt_ce,86,4,0.32017567602297553,0.9522480031058209,121063,0.13213713063694293,0.9631117920846463,0.7896282310589224,0.7729922467483864,0.9619373973108495
screening,effective_number_ce,86,1,0.7400064191533821,0.9203968181855728,121063,1.0330691609425777,0.6123558150964123,0.7112456969719738,0.5414642593542136,0.7201674736154555
screening,effective_number_ce,86,2,0.43387411925744307,0.9453672881061926,121063,0.33726196049754786,0.9280737764158307,0.791547971856676,0.7197467880029484,0.9362579767983698
screening,effective_number_ce,86,3,0.36131572516678034,0.9501251414552754,121063,0.23844849153858175,0.9399843890029198,0.8145072317056127,0.7363346147716101,0.9455857457565612
screening,effective_number_ce,86,4,0.3249901722273097,0.9507611739342325,121063,0.15975314436721585,0.9570119395218409,0.812270599952258,0.7681254890724561,0.9578392262961338
screening,inverse_sqrt_sampler,86,1,0.5963425284469849,0.8050436549565102,121063,0.16645941460922825,0.9570119395218409,0.7499538970104953,0.7402969270688841,0.9523918401917771
screening,inverse_sqrt_sampler,86,2,0.3274140917549717,0.8862410480493628,121063,0.16463623529591465,0.9567228469833193,0.8109503129886684,0.7720909472549687,0.9577808538201998
screening,inverse_sqrt_sampler,86,3,0.25079504104377554,0.9119631927178411,121063,0.1554663032495787,0.9525888236824608,0.8196415121147624,0.7887924558621301,0.9554657116757186
screening,inverse_sqrt_sampler,86,4,0.2086416216402362,0.926839744595789,121063,0.1337854187161369,0.957214304298806,0.8137821035546619,0.7877719837409065,0.9581110814654139
screening,focal_loss,86,1,0.1768765554392588,0.9191990946862377,121063,0.32058666107788353,0.9488884391893845,0.6233390468790277,0.6610856767930673,0.94070583397909
screening,focal_loss,86,2,0.08298528437214638,0.9516367511130568,121063,0.3271419866787192,0.955017201006042,0.7144598486563917,0.7122867804039384,0.9509188442764733
screening,focal_loss,86,3,0.06579357149741044,0.9587239701642947,121063,0.3554564763764855,0.9567228469833193,0.7098429194107669,0.71754079412086,0.9548529852512551
screening,focal_loss,86,4,0.05886225824161707,0.9619123927211451,121063,0.14553258149608914,0.9583417651990402,0.6924860704053444,0.7193688740424665,0.9514538612300213
confirmation,unweighted_ce,87,1,0.358489676950948,0.9093612416675615,121063,0.2027242980846379,0.942008036772571,0.4517443275285088,0.4805352774486546,0.9299788527864237
