phase,strategy,seed,class_index,class_name,precision,recall,f1,support
screening,unweighted_ce,86,0,Center,0.874439461883408,0.9080325960419092,0.8909194745859509,859
screening,unweighted_ce,86,1,Donut,0.8842105263157894,0.7567567567567568,0.8155339805825242,111
screening,unweighted_ce,86,2,Edge-Loc,0.7215064420218038,0.7013487475915221,0.7112848070346849,1038
screening,unweighted_ce,86,3,Edge-Ring,0.9730728616684267,0.9519628099173554,0.9624020887728459,1936
screening,unweighted_ce,86,4,Loc,0.5765550239234449,0.6713091922005571,0.6203346203346203,718
screening,unweighted_ce,86,5,Near-full,0.8888888888888888,0.8,0.8421052631578947,30
screening,unweighted_ce,86,6,Random,0.864406779661017,0.884393063583815,0.8742857142857143,173
screening,unweighted_ce,86,7,Scratch,0.0,0.0,0.0,239
screening,unweighted_ce,86,8,none,0.9808502747715856,0.986638179536745,0.9837357138026646,29487
screening,inverse_sqrt_ce,86,0,Center,0.9243697478991597,0.8963911525029103,0.9101654846335697,859
screening,inverse_sqrt_ce,86,1,Donut,0.7557251908396947,0.8918918918918919,0.8181818181818182,111
screening,inverse_sqrt_ce,86,2,Edge-Loc,0.8035320088300221,0.7013487475915221,0.7489711934156379,1038
screening,inverse_sqrt_ce,86,3,Edge-Ring,0.9673236514522822,0.9633264462809917,0.9653209109730849,1936
screening,inverse_sqrt_ce,86,4,Loc,0.673728813559322,0.6643454038997214,0.6690042075736325,718
screening,inverse_sqrt_ce,86,5,Near-full,0.5882352941176471,1.0,0.7407407407407407,30
screening,inverse_sqrt_ce,86,6,Random,0.9571428571428572,0.7745664739884393,0.8562300319488818,173
screening,inverse_sqrt_ce,86,7,Scratch,0.3157894736842105,0.22594142259414227,0.2634146341463415,239
screening,inverse_sqrt_ce,86,8,none,0.9809911516334152,0.988842540780683,0.98490119912177,29487
screening,effective_number_ce,86,0,Center,0.8992974238875878,0.8940628637951106,0.8966725043782837,859
screening,effective_number_ce,86,1,Donut,0.6337209302325582,0.9819819819819819,0.7703180212014135,111
screening,effective_number_ce,86,2,Edge-Loc,0.7426545086119554,0.7061657032755299,0.7239506172839506,1038
screening,effective_number_ce,86,3,Edge-Ring,0.9477422628107559,0.9648760330578512,0.9562324033785513,1936
screening,effective_number_ce,86,4,Loc,0.6375176304654443,0.6295264623955432,0.6334968465311843,718
screening,effective_number_ce,86,5,Near-full,0.6521739130434783,1.0,0.7894736842105263,30
screening,effective_number_ce,86,6,Random,0.9470198675496688,0.8265895953757225,0.8827160493827161,173
screening,effective_number_ce,86,7,Scratch,0.24148606811145512,0.3263598326359833,0.2775800711743772,239
screening,effective_number_ce,86,8,none,0.9845122200285928,0.9808729270525994,0.9826892041111017,29487
screening,inverse_sqrt_sampler,86,0,Center,0.8748615725359912,0.919674039580908,0.8967082860385925,859
screening,inverse_sqrt_sampler,86,1,Donut,0.7868852459016393,0.8648648648648649,0.8240343347639485,111
screening,inverse_sqrt_sampler,86,2,Edge-Loc,0.7044079515989629,0.7851637764932563,0.7425968109339408,1038
screening,inverse_sqrt_sampler,86,3,Edge-Ring,0.9644696189495365,0.9674586776859504,0.9659618359979371,1936
screening,inverse_sqrt_sampler,86,4,Loc,0.5301724137931034,0.6852367688022284,0.5978128797083839,718
screening,inverse_sqrt_sampler,86,5,Near-full,0.9,0.9,0.9,30
screening,inverse_sqrt_sampler,86,6,Random,0.8820224719101124,0.9075144508670521,0.8945868945868946,173
screening,inverse_sqrt_sampler,86,7,Scratch,0.24725274725274726,0.37656903765690375,0.29850746268656714,239
screening,inverse_sqrt_sampler,86,8,none,0.9877101529326475,0.970291993081697,0.9789235980429055,29487
screening,focal_loss,86,0,Center,0.9777777777777777,0.819557625145518,0.8917036098796707,859
screening,focal_loss,86,1,Donut,0.8804347826086957,0.7297297297297297,0.7980295566502463,111
screening,focal_loss,86,2,Edge-Loc,0.8769716088328076,0.535645472061657,0.6650717703349283,1038
screening,focal_loss,86,3,Edge-Ring,0.9498480243161094,0.96849173553719,0.959079283887468,1936
screening,focal_loss,86,4,Loc,0.7435897435897436,0.48467966573816157,0.5868465430016864,718
screening,focal_loss,86,5,Near-full,0.6222222222222222,0.9333333333333333,0.7466666666666667,30
screening,focal_loss,86,6,Random,0.9496402877697842,0.7630057803468208,0.8461538461538461,173
screening,focal_loss,86,7,Scratch,0.0,0.0,0.0,239
screening,focal_loss,86,8,none,0.96418624463449,0.997931291755689,0.9807685898076859,29487
confirmation,unweighted_ce,87,0,Center,0.8886363636363637,0.910360884749709,0.8993674525589419,859
confirmation,unweighted_ce,87,1,Donut,0.8365384615384616,0.7837837837837838,0.8093023255813954,111
confirmation,unweighted_ce,87,2,Edge-Loc,0.6831683168316832,0.7312138728323699,0.7063750581665891,1038
confirmation,unweighted_ce,87,3,Edge-Ring,0.9052581714827096,0.9870867768595041,0.9444032616753151,1936
confirmation,unweighted_ce,87,4,Loc,0.7419354838709677,0.4805013927576602,0.5832628909551987,718
confirmation,unweighted_ce,87,5,Near-full,1.0,0.5666666666666667,0.723404255319149,30
confirmation,unweighted_ce,87,6,Random,0.7918781725888325,0.9017341040462428,0.8432432432432433,173
confirmation,unweighted_ce,87,7,Scratch,0.0,0.0,0.0,239
confirmation,unweighted_ce,87,8,none,0.9801050292870127,0.9873842710346933,0.9837311844305915,29487
confirmation,inverse_sqrt_sampler,87,0,Center,0.9185360094451004,0.9057043073341094,0.9120750293083235,859
confirmation,inverse_sqrt_sampler,87,1,Donut,0.8230088495575221,0.8378378378378378,0.8303571428571429,111
confirmation,inverse_sqrt_sampler,87,2,Edge-Loc,0.7035775127768313,0.7957610789980732,0.7468354430379747,1038
confirmation,inverse_sqrt_sampler,87,3,Edge-Ring,0.9772004241781548,0.9519628099173554,0.9644165358451072,1936
confirmation,inverse_sqrt_sampler,87,4,Loc,0.7495527728085868,0.5835654596100278,0.6562255285826155,718
confirmation,inverse_sqrt_sampler,87,5,Near-full,0.8108108108108109,1.0,0.8955223880597015,30
confirmation,inverse_sqrt_sampler,87,6,Random,0.9577464788732394,0.7861271676300579,0.8634920634920635,173
confirmation,inverse_sqrt_sampler,87,7,Scratch,0.5153846153846153,0.2803347280334728,0.36314363143631434,239
confirmation,inverse_sqrt_sampler,87,8,none,0.9819210180789819,0.989113846779937,0.9855043081601622,29487
confirmation,inverse_sqrt_ce,87,0,Center,0.8939051918735892,0.9220023282887078,0.9077363896848137,859
confirmation,inverse_sqrt_ce,87,1,Donut,0.7222222222222222,0.9369369369369369,0.8156862745098039,111
confirmation,inverse_sqrt_ce,87,2,Edge-Loc,0.6390675241157556,0.7658959537572254,0.6967572304995618,1038
confirmation,inverse_sqrt_ce,87,3,Edge-Ring,0.9543589743589743,0.9612603305785123,0.9577972207925888,1936
confirmation,inverse_sqrt_ce,87,4,Loc,0.7225225225225225,0.5584958217270195,0.6300078554595444,718
confirmation,inverse_sqrt_ce,87,5,Near-full,0.8235294117647058,0.9333333333333333,0.875,30
confirmation,inverse_sqrt_ce,87,6,Random,0.9470198675496688,0.8265895953757225,0.8827160493827161,173
confirmation,inverse_sqrt_ce,87,7,Scratch,0.5882352941176471,0.04184100418410042,0.078125,239
confirmation,inverse_sqrt_ce,87,8,none,0.980918608578183,0.9850103435412215,0.9829602179467655,29487
confirmation,unweighted_ce,88,0,Center,0.9078947368421053,0.8835855646100116,0.8955752212389381,859
confirmation,unweighted_ce,88,1,Donut,0.8207547169811321,0.7837837837837838,0.8018433179723502,111
confirmation,unweighted_ce,88,2,Edge-Loc,0.8094594594594594,0.5770712909441233,0.6737907761529809,1038
confirmation,unweighted_ce,88,3,Edge-Ring,0.9351163942545815,0.9752066115702479,0.9547408343868521,1936
confirmation,unweighted_ce,88,4,Loc,0.7664233576642335,0.4387186629526462,0.5580159433126661,718
confirmation,unweighted_ce,88,5,Near-full,1.0,0.6333333333333333,0.7755102040816326,30
confirmation,unweighted_ce,88,6,Random,0.8333333333333334,0.838150289017341,0.8357348703170029,173
confirmation,unweighted_ce,88,7,Scratch,0.0,0.0,0.0,239
confirmation,unweighted_ce,88,8,none,0.9690946311827247,0.9953538847627769,0.98204875110836,29487
confirmation,inverse_sqrt_sampler,88,0,Center,0.9106078665077473,0.889406286379511,0.8998822143698468,859
confirmation,inverse_sqrt_sampler,88,1,Donut,0.7751937984496124,0.9009009009009009,0.8333333333333334,111
confirmation,inverse_sqrt_sampler,88,2,Edge-Loc,0.6162624821683309,0.8323699421965318,0.7081967213114754,1038
confirmation,inverse_sqrt_sampler,88,3,Edge-Ring,0.9636174636174636,0.9576446280991735,0.960621761658031,1936
confirmation,inverse_sqrt_sampler,88,4,Loc,0.6657303370786517,0.6601671309192201,0.6629370629370629,718
confirmation,inverse_sqrt_sampler,88,5,Near-full,0.9032258064516129,0.9333333333333333,0.9180327868852459,30
confirmation,inverse_sqrt_sampler,88,6,Random,0.8611111111111112,0.8959537572254336,0.8781869688385269,173
confirmation,inverse_sqrt_sampler,88,7,Scratch,0.30303030303030304,0.33472803347280333,0.31809145129224653,239
confirmation,inverse_sqrt_sampler,88,8,none,0.9878735829611818,0.9752433275680809,0.9815178251446319,29487
confirmation,inverse_sqrt_ce,88,0,Center,0.8310880829015544,0.9336437718277066,0.8793859649122807,859
confirmation,inverse_sqrt_ce,88,1,Donut,0.7142857142857143,0.9459459459459459,0.813953488372093,111
confirmation,inverse_sqrt_ce,88,2,Edge-Loc,0.7370892018779343,0.75626204238921,0.7465525439847837,1038
confirmation,inverse_sqrt_ce,88,3,Edge-Ring,0.9002835538752363,0.9839876033057852,0.9402764067127345,1936
confirmation,inverse_sqrt_ce,88,4,Loc,0.7378277153558053,0.5487465181058496,0.6293929712460063,718
confirmation,inverse_sqrt_ce,88,5,Near-full,0.9629629629629629,0.8666666666666667,0.9122807017543859,30
confirmation,inverse_sqrt_ce,88,6,Random,0.8823529411764706,0.8670520231213873,0.8746355685131195,173
confirmation,inverse_sqrt_ce,88,7,Scratch,0.26666666666666666,0.28451882845188287,0.27530364372469635,239
confirmation,inverse_sqrt_ce,88,8,none,0.9857396288209607,0.979889442805304,0.982805830031123,29487
